"Version","Variable Order","Class","Dataset Name","Variable Name","Variable Label","Type","CDISC CT Codelist Code(s)","Described Value Domain(s)","Value List","Role","CDISC Notes","Core"
"SDTMIG v3.2","11","Special-Purpose","CO","CODTC","Date/Time of Comment","Char","","ISO 8601","","Timing","Date/time of comment on dedicated comment form. Should be null if this is a child record of another domain or if comment date was not collected.","Perm"
"SDTMIG v3.2","1","Special-Purpose","DM","STUDYID","Study Identifier","Char","",,"","Identifier","Unique identifier for a study.","Req"
"SDTMIG v3.2","2","Special-Purpose","DM","DOMAIN","Domain Abbreviation","Char","",,"DM","Identifier","Two-character abbreviation for the domain.","Req"
"SDTMIG v3.2","3","Special-Purpose","DM","USUBJID","Unique Subject Identifier","Char","",,"","Identifier","Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product. This must be a unique number, and could be a compound identifier formed by concatenating STUDYID-SITEID-SUBJID.","Req"
"SDTMIG v3.2","4","Special-Purpose","DM","SUBJID","Subject Identifier for the Study","Char","",,"","Topic","Subject identifier, which must be unique within the study. Often the ID of the subject as recorded on a CRF.","Req"
"SDTMIG v3.2","5","Special-Purpose","DM","RFSTDTC","Subject Reference Start Date/Time","Char","","ISO 8601","","Record Qualifier","Reference Start Date/time for the subject in ISO 8601 character format. Usually equivalent to date/time when subject was first exposed to study treatment. Required for all randomized subjects; will be null for all subjects who did not meet the milestone the date requires, such as screen failures or unassigned subjects.","Exp"
"SDTMIG v3.2","6","Special-Purpose","DM","RFENDTC","Subject Reference End Date/Time","Char","","ISO 8601","","Record Qualifier","Reference End Date/time for the subject in ISO 8601 character format. Usually equivalent to the date/time when subject was determined to have ended the trial, and often equivalent to date/time of last exposure to study treatment. Required for all randomized subjects; null for screen failures or unassigned subjects.","Exp"
"SDTMIG v3.2","7","Special-Purpose","DM","RFXSTDTC","Date/Time of First Study Treatment","Char","","ISO 8601","","Record Qualifier","First date of exposure to any protocol-specified treatment or therapy, equal to the earliest value of EXSTDTC.","Exp"
"SDTMIG v3.2","8","Special-Purpose","DM","RFXENDTC","Date/Time of Last Study Treatment","Char","","ISO 8601","","Record Qualifier","Last date of exposure to any protocol-specified treatment or therapy, equal to the latest value of EXENDTC (or the latest value of EXSTDTC if EXENDTC was not collected or is missing).","Exp"
"SDTMIG v3.2","9","Special-Purpose","DM","RFICDTC","Date/Time of Informed Consent","Char","","ISO 8601","","Record Qualifier","Date/time of informed consent in ISO 8601 character format. This will be the same as the date of informed consent in the Disposition domain, if that protocol milestone is documented. Would be null only in studies not collecting the date of informed consent.","Exp"
"SDTMIG v3.2","10","Special-Purpose","DM","RFPENDTC","Date/Time of End of Participation","Char","","ISO 8601","","Record Qualifier","Date/time when subject ended participation or follow-up in a trial, as defined in the protocol, in ISO 8601 character format. Should correspond to the last known date of contact. Examples include completion date, withdrawal date, last follow-up, date recorded for lost to follow up, or death date.","Exp"
"SDTMIG v3.2","11","Special-Purpose","DM","DTHDTC","Date/Time of Death","Char","","ISO 8601","","Record Qualifier","Date/time of death for any subject who died, in ISO 8601 format. Should represent the date/time that is captured in the clinical-trial database.","Exp"
"SDTMIG v3.2","12","Special-Purpose","DM","DTHFL","Subject Death Flag","Char","C66742",,"","Record Qualifier","Indicates the subject died. Should be Y or null. Should be populated even when the death date is unknown.","Exp"
"SDTMIG v3.2","13","Special-Purpose","DM","SITEID","Study Site Identifier","Char","",,"","Record Qualifier","Unique identifier for a site within a study.","Req"
"SDTMIG v3.2","14","Special-Purpose","DM","INVID","Investigator Identifier","Char","",,"","Record Qualifier","An identifier to describe the Investigator for the study. May be used in addition to SITEID. Not needed if SITEID is equivalent to INVID.","Perm"
"SDTMIG v3.2","15","Special-Purpose","DM","INVNAM","Investigator Name","Char","",,"","Synonym Qualifier","Name of the investigator for a site.","Perm"
"SDTMIG v3.2","16","Special-Purpose","DM","BRTHDTC","Date/Time of Birth","Char","","ISO 8601","","Record Qualifier","Date/time of birth of the subject.","Perm"
"SDTMIG v3.2","17","Special-Purpose","DM","AGE","Age","Num","",,"","Record Qualifier","Age expressed in AGEU. May be derived from RFSTDTC and BRTHDTC, but BRTHDTC may not be available in all cases (due to subject privacy concerns).","Exp"
"SDTMIG v3.2","18","Special-Purpose","DM","AGEU","Age Units","Char","C66781",,"","Variable Qualifier","Units associated with AGE.","Exp"
"SDTMIG v3.2","19","Special-Purpose","DM","SEX","Sex","Char","C66731",,"","Record Qualifier","Sex of the subject.","Req"
"SDTMIG v3.2","20","Special-Purpose","DM","RACE","Race","Char","C74457",,"","Record Qualifier","Race of the subject. Sponsors should refer to ""Collection of Race and Ethnicity Data in Clinical Trials"" (FDA, September 2005) for guidance regarding the collection of race (http://www.fda.gov/RegulatoryInformation/Guidances/ucm126340.htm) See Assumption below regarding RACE.","Exp"
"SDTMIG v3.2","21","Special-Purpose","DM","ETHNIC","Ethnicity","Char","C66790",,"","Record Qualifier","The ethnicity of the subject. Sponsors should refer to ""Collection of Race and Ethnicity Data in Clinical Trials"" (FDA, September 2005) for guidance regarding the collection of ethnicity (http://www.fda.gov/RegulatoryInformation/Guidances/ucm126340.htm).","Perm"
"SDTMIG v3.2","22","Special-Purpose","DM","ARMCD","Planned Arm Code","Char","",,"","Record Qualifier","ARMCD is limited to 20 characters and does not have special character restrictions. The maximum length of ARMCD is longer than for other ""short"" variables to accommodate the kind of values that are likely to be needed for crossover trials. For example, if ARMCD values for a seven-period crossover were constructed using two-character abbreviations for each treatment and separating hyphens, the length of ARMCD values would be 20.","Req"
"SDTMIG v3.2","23","Special-Purpose","DM","ARM","Description of Planned Arm","Char","",,"","Synonym Qualifier","Name of the Arm to which the subject was assigned.","Req"
"SDTMIG v3.2","24","Special-Purpose","DM","ACTARMCD","Actual Arm Code","Char","",,"","Record Qualifier","Code of actual Arm. When an Arm is not planned (not in Trial Arms), ACTARMCD will be UNPLAN. Randomized subjects who were not treated will be given a value of NOTTRT. Values should be ""SCRNFAIL"" for screen failures and ""NOTASSGN"" for subjects not assigned to treatment. Restricted to values in Trial Arms in all other cases. ACTARMCD is limited to 20 characters and does not have special character restrictions. The maximum length of ACTARMCD is longer than for other short variables to accommodate the kind of values that are likely to be needed for crossover trials.","Req"
"SDTMIG v3.2","25","Special-Purpose","DM","ACTARM","Description of Actual Arm","Char","",,"","Synonym Qualifier","Description of actual Arm. When an Arm is not planned (not in Trial Arms), ACTARM will be ""Unplanned Treatment"". Randomized subjects who were not treated will be given a value of ""Not Treated"". Values should be ""Screen Failure"" for screen failures and ""Not Assigned"" for subjects not assigned to treatment. Restricted to values in Trial Arms in all other cases.","Req"
"SDTMIG v3.2","26","Special-Purpose","DM","COUNTRY","Country","Char","","ISO 3166-1 Alpha-3","","Record Qualifier","Country of the investigational site in which the subject participated in the trial.","Req"
"SDTMIG v3.2","27","Special-Purpose","DM","DMDTC","Date/Time of Collection","Char","","ISO 8601","","Timing","Date/time of demographic data collection.","Perm"
"SDTMIG v3.2","28","Special-Purpose","DM","DMDY","Study Day of Collection","Num","",,"","Timing","Study day of collection measured as integer days.","Perm"
"SDTMIG v3.2","1","Special-Purpose","SE","STUDYID","Study Identifier","Char","",,"","Identifier","Unique identifier for a study.","Req"
"SDTMIG v3.2","2","Special-Purpose","SE","DOMAIN","Domain Abbreviation","Char","",,"SE","Identifier","Two-character abbreviation for the domain.","Req"
"SDTMIG v3.2","3","Special-Purpose","SE","USUBJID","Unique Subject Identifier","Char","",,"","Identifier","Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.","Req"
"SDTMIG v3.2","4","Special-Purpose","SE","SESEQ","Sequence Number","Num","",,"","Identifier","Sequence Number given to ensure uniqueness of subject records within a domain. Should be assigned to be consistent chronological order.","Req"
"SDTMIG v3.2","5","Special-Purpose","SE","ETCD","Element Code","Char","",,"","Topic","1. ETCD (the companion to ELEMENT) is limited to 8 characters and does not have special character restrictions. These values should be short for ease of use in programming, but it is not expected that ETCD will need to serve as a variable name. 2. If an encountered Element differs from the planned Element to the point that it is considered a new Element, then use ""UNPLAN"" as the value for ETCD to represent this Element.","Req"
"SDTMIG v3.2","6","Special-Purpose","SE","ELEMENT","Description of Element","Char","",,"","Synonym Qualifier","The name of the Element. If ETCD has a value of ""UNPLAN"" then ELEMENT should be Null.","Perm"
"SDTMIG v3.2","7","Special-Purpose","SE","SESTDTC","Start Date/Time of Element","Char","","ISO 8601","","Timing","Start date/time for an Element for each subject.","Req"
"SDTMIG v3.2","8","Special-Purpose","SE","SEENDTC","End Date/Time of Element","Char","","ISO 8601","","Timing","End date/time for an Element for each subject.","Exp"
"SDTMIG v3.2","9","Special-Purpose","SE","TAETORD","Planned Order of Element within Arm","Num","",,"","Timing","Number that gives the planned order of the Element within the subject's assigned ARM.","Perm"
"SDTMIG v3.2","10","Special-Purpose","SE","EPOCH","Epoch","Char","C99079",,"","Timing","Epoch associated with the Element in the planned sequence of Elements for the ARM to which the subject was assigned","Perm"
"SDTMIG v3.2","11","Special-Purpose","SE","SEUPDES","Description of Unplanned Element","Char","",,"","Synonym Qualifier","Description of what happened to the subject during this unplanned Element. Used only if ETCD has the value of ""UNPLAN"".","Perm"
"SDTMIG v3.2","1","Special-Purpose","SV","STUDYID","Study Identifier","Char","",,"","Identifier","Unique identifier for a study.","Req"
"SDTMIG v3.2","2","Special-Purpose","SV","DOMAIN","Domain Abbreviation","Char","",,"SV","Identifier","Two-character abbreviation for the domain.","Req"
"SDTMIG v3.2","3","Special-Purpose","SV","USUBJID","Unique Subject Identifier","Char","",,"","Identifier","Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.","Req"
"SDTMIG v3.2","4","Special-Purpose","SV","VISITNUM","Visit Number","Num","",,"","Topic","1. Clinical encounter number. (Decimal numbering may be useful for inserting unplanned visits.) 2. Numeric version of VISIT, used for sorting.","Req"
"SDTMIG v3.2","5","Special-Purpose","SV","VISIT","Visit Name","Char","",,"","Synonym Qualifier","1. Protocol-defined description of clinical encounter. 2. May be used in addition to VISITNUM and/or VISITDY as a text description of the clinical encounter.","Perm"
"SDTMIG v3.2","6","Special-Purpose","SV","VISITDY","Planned Study Day of Visit","Num","",,"","Timing","Planned study day of the start of the visit based upon RFSTDTC in Demographics.","Perm"
"SDTMIG v3.2","7","Special-Purpose","SV","SVSTDTC","Start Date/Time of Visit","Char","","ISO 8601","","Timing","Start date/time for a Visit.","Exp"
"SDTMIG v3.2","8","Special-Purpose","SV","SVENDTC","End Date/Time of Visit","Char","","ISO 8601","","Timing","End date/time of a Visit.","Exp"
"SDTMIG v3.2","9","Special-Purpose","SV","SVSTDY","Study Day of Start of Visit","Num","",,"","Timing","Study day of start of visit relative to the sponsor-defined RFSTDTC.","Perm"
"SDTMIG v3.2","10","Special-Purpose","SV","SVENDY","Study Day of End of Visit","Num","",,"","Timing","Study day of end of visit relative to the sponsor-defined RFSTDTC.","Perm"
"SDTMIG v3.2","11","Special-Purpose","SV","SVUPDES","Description of Unplanned Visit","Char","",,"","Synonym Qualifier","Description of what happened to the subject during an unplanned visit.","Perm"
"SDTMIG v3.2","1","Interventions","CM","STUDYID","Study Identifier","Char","",,"","Identifier","Unique identifier for a study.","Req"
"SDTMIG v3.2","2","Interventions","CM","DOMAIN","Domain Abbreviation","Char","",,"CM","Identifier","Two-character abbreviation for the domain.","Req"
"SDTMIG v3.2","3","Interventions","CM","USUBJID","Unique Subject Identifier","Char","",,"","Identifier","Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.","Req"
"SDTMIG v3.2","4","Interventions","CM","CMSEQ","Sequence Number","Num","",,"","Identifier","Sequence Number given to ensure uniqueness of subject records within a domain. May be any valid number.","Req"
"SDTMIG v3.2","5","Interventions","CM","CMGRPID","Group ID","Char","",,"","Identifier","Used to tie together a block of related records in a single domain for a subject.","Perm"
"SDTMIG v3.2","6","Interventions","CM","CMSPID","Sponsor-Defined Identifier","Char","",,"","Identifier","Sponsor-defined reference number. Examples: a number pre-printed on the CRF as an explicit line identifier or record identifier defined in the sponsor's operational database. Example: line number on a concomitant medication page.","Perm"
"SDTMIG v3.2","7","Interventions","CM","CMTRT","Reported Name of Drug, Med, or Therapy","Char","",,"","Topic","Verbatim medication name that is either pre-printed or collected on a CRF.","Req"
"SDTMIG v3.2","8","Interventions","CM","CMMODIFY","Modified Reported Name","Char","",,"","Synonym Qualifier","If CMTRT is modified to facilitate coding, then CMMODIFY will contain the modified text.","Perm"
"SDTMIG v3.2","9","Interventions","CM","CMDECOD","Standardized Medication Name","Char","",,"","Synonym Qualifier","Standardized or dictionary-derived text description of CMTRT or CMMODIFY. Equivalent to the generic medication name in WHO Drug. The sponsor is expected to provide the dictionary name and version used to map the terms utilizing the define.xml external codelist attributes. If an intervention term does not have a decode value in the dictionary then CMDECOD will be left blank.","Perm"
"SDTMIG v3.2","10","Interventions","CM","CMCAT","Category for Medication","Char","",,"","Grouping Qualifier","Used to define a category of medications/treatments. Examples: PRIOR, CONCOMITANT, ANTI-CANCER MEDICATION, or GENERAL CONMED.","Perm"
"SDTMIG v3.2","11","Interventions","CM","CMSCAT","Subcategory for Medication","Char","",,"","Grouping Qualifier","A further categorization of medications/ treatment. Examples: CHEMOTHERAPY, HORMONAL THERAPY, ALTERNATIVE THERAPY.","Perm"
"SDTMIG v3.2","12","Interventions","CM","CMPRESP","CM Pre-Specified","Char","C66742",,"","Variable Qualifier","Used to indicate whether (Y/null) information about the use of a specific medication was solicited on the CRF.","Perm"
"SDTMIG v3.2","13","Interventions","CM","CMOCCUR","CM Occurrence","Char","C66742",,"","Record Qualifier","When the use of specific medications is solicited, CMOCCUR is used to indicate whether or not (Y/N) use of the medication occurred. Values are null for medications not specifically solicited.","Perm"
"SDTMIG v3.2","14","Interventions","CM","CMSTAT","Completion Status","Char","C66789",,"","Record Qualifier","Used to indicate that a question about a pre-specified medication was not answered. Should be null or have a value of NOT DONE.","Perm"
"SDTMIG v3.2","15","Interventions","CM","CMREASND","Reason Medication Not Collected","Char","",,"","Record Qualifier","Describes the reason concomitant medication was not collected. Used in conjunction with CMSTAT when value is NOT DONE.","Perm"
"SDTMIG v3.2","16","Interventions","CM","CMINDC","Indication","Char","",,"","Record Qualifier","Denotes why a medication was taken or administered. Examples: NAUSEA, HYPERTENSION.","Perm"
"SDTMIG v3.2","17","Interventions","CM","CMCLAS","Medication Class","Char","",,"","Variable Qualifier","Drug class. May be obtained from coding. When coding to a single class, populate with class value. If using a dictionary and coding to multiple classes, then follow Section 4: 4.1.2.8.3, Multiple Values For A Non-Result Qualifier Variable or omit CMCLAS.","Perm"
"SDTMIG v3.2","18","Interventions","CM","CMCLASCD","Medication Class Code","Char","",,"","Variable Qualifier","Class code corresponding to CMCLAS. Drug class. May be obtained from coding. When coding to a single class, populate with class code. If using a dictionary and coding to multiple classes, then follow Section 4: 4.1.2.8.3, Multiple Values For A Non-Result Qualifier Variable or omit CMCLASCD.","Perm"
"SDTMIG v3.2","19","Interventions","CM","CMDOSE","Dose per Administration","Num","",,"","Record Qualifier","Amount of CMTRT taken. Not populated when CMDOSTXT is populated.","Perm"
"SDTMIG v3.2","20","Interventions","CM","CMDOSTXT","Dose Description","Char","",,"","Record Qualifier","Dosing amounts or a range of dosing information collected in text form. Units may be stored in CMDOSU. Example: 200-400, 15-20. Not populated when CMDOSE is populated.","Perm"
"SDTMIG v3.2","21","Interventions","CM","CMDOSU","Dose Units","Char","C71620",,"","Variable Qualifier","Units for CMDOSE, CMDOSTOT, and CMDOSTXT. Examples: ng, mg, or mg/kg.","Perm"
"SDTMIG v3.2","22","Interventions","CM","CMDOSFRM","Dose Form","Char","C66726",,"","Variable Qualifier","Dose form for CMTRT. Examples: TABLET, LOTION.","Perm"
"SDTMIG v3.2","23","Interventions","CM","CMDOSFRQ","Dosing Frequency per Interval","Char","C71113",,"","Variable Qualifier","Usually expressed as the number of repeated administrations of CMDOSE within a specific time period. Examples: BID (twice daily), Q12H (every 12 hours).","Perm"
"SDTMIG v3.2","24","Interventions","CM","CMDOSTOT","Total Daily Dose","Num","",,"","Record Qualifier","Total daily dose of CMTRT using the units in CMDOSU. Used when dosing is collected as Total Daily Dose. Total dose over a period other than day could be recorded in a separate Supplemental Qualifier variable.","Perm"
"SDTMIG v3.2","25","Interventions","CM","CMDOSRGM","Intended Dose Regimen","Char","",,"","Variable Qualifier","Text description of the (intended) schedule or regimen for the Intervention. Examples: TWO WEEKS ON, TWO WEEKS OFF.","Perm"
"SDTMIG v3.2","26","Interventions","CM","CMROUTE","Route of Administration","Char","C66729",,"","Variable Qualifier","Route of administration for CMTRT. Examples: ORAL, INTRAVENOUS.","Perm"
"SDTMIG v3.2","27","Interventions","CM","CMSTDTC","Start Date/Time of Medication","Char","","ISO 8601","","Timing",,"Perm"
"SDTMIG v3.2","28","Interventions","CM","CMENDTC","End Date/Time of Medication","Char","","ISO 8601","","Timing",,"Perm"
"SDTMIG v3.2","29","Interventions","CM","CMSTDY","Study Day of Start of Medication","Num","",,"","Timing","Study day of start of medication relative to the sponsor-defined RFSTDTC.","Perm"
"SDTMIG v3.2","30","Interventions","CM","CMENDY","Study Day of End of Medication","Num","",,"","Timing","Study day of end of medication relative to the sponsor-defined RFSTDTC.","Perm"
"SDTMIG v3.2","31","Interventions","CM","CMDUR","Duration of Medication","Char","","ISO 8601","","Timing","Collected duration for a treatment episode. Used only if collected on the CRF and not derived from start and end date/times.","Perm"
"SDTMIG v3.2","32","Interventions","CM","CMSTRF","Start Relative to Reference Period","Char","C66728",,"","Timing","Describes the start of the medication relative to sponsor-defined reference period. The sponsor-defined reference period is a continuous period of time defined by a discrete starting point and a discrete ending point (represented by RFSTDTC and RFENDTC in Demographics). If information such as ""PRIOR"", ONGOING or ""CONTINUING"" was collected, this information may be translated into CMSTRF.","Perm"
"SDTMIG v3.2","33","Interventions","CM","CMENRF","End Relative to Reference Period","Char","C66728",,"","Timing","Describes the end of the medication relative to the sponsor-defined reference period. The sponsor-defined reference period is a continuous period of time defined by a discrete starting point and a discrete ending point (represented by RFSTDTC and RFENDTC in Demographics). If information such as ""PRIOR"", ""ONGOING, or ""CONTINUING"" was collected, this information may be translated into CMENRF.","Perm"
"SDTMIG v3.2","34","Interventions","CM","CMSTRTPT","Start Relative to Reference Time Point","Char","C66728",,"","Timing","Identifies the start of the medication as being before or after the reference time point defined by variable CMSTTPT.","Perm"
"SDTMIG v3.2","35","Interventions","CM","CMSTTPT","Start Reference Time Point","Char","",,"","Timing","Description or date/time in ISO 8601 character format of the reference point referred to by CMSTRTPT. Examples: ""2003-12-15"" or ""VISIT 1"".","Perm"
"SDTMIG v3.2","36","Interventions","CM","CMENRTPT","End Relative to Reference Time Point","Char","C66728",,"","Timing","Identifies the end of the medication as being before or after the reference time point defined by variable CMENTPT.","Perm"
"SDTMIG v3.2","37","Interventions","CM","CMENTPT","End Reference Time Point","Char","",,"","Timing","Description or date/time in ISO 8601 character format of the reference point referred to by CMENRTPT. Examples: ""2003-12-25"" or ""VISIT 2"".","Perm"
"SDTMIG v3.2","1","Interventions","EX","STUDYID","Study Identifier","Char","",,"","Identifier","Unique identifier for a study.","Req"
"SDTMIG v3.2","2","Interventions","EX","DOMAIN","Domain Abbreviation","Char","",,"EX","Identifier","Two-character abbreviation for the domain.","Req"
"SDTMIG v3.2","3","Interventions","EX","USUBJID","Unique Subject Identifier","Char","",,"","Identifier","Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.","Req"
"SDTMIG v3.2","4","Interventions","EX","EXSEQ","Sequence Number","Num","",,"","Identifier","Sequence Number given to ensure uniqueness of subject records within a domain. May be any valid number.","Req"
"SDTMIG v3.2","5","Interventions","EX","EXGRPID","Group ID","Char","",,"","Identifier","Used to tie together a block of related records in a single domain for a subject.","Perm"
"SDTMIG v3.2","6","Interventions","EX","EXREFID","Reference ID","Char","",,"","Identifier","Internal or external identifier (e.g., kit number, bottle label, vial identifier).","Perm"
"SDTMIG v3.2","7","Interventions","EX","EXSPID","Sponsor-Defined Identifier","Char","",,"","Identifier","Sponsor-defined reference number. Perhaps pre-printed on the CRF as an explicit line identifier or defined in the sponsor's operational database. Example: Line number on a CRF Page.","Perm"
"SDTMIG v3.2","8","Interventions","EX","EXLNKID","Link ID","Char","",,"","Identifier","Identifier used to link related records across domains.","Perm"
"SDTMIG v3.2","9","Interventions","EX","EXLNKGRP","Link Group ID","Char","",,"","Identifier","Identifier used to link related, grouped records across domains.","Perm"
"SDTMIG v3.2","10","Interventions","EX","EXTRT","Name of Treatment","Char","",,"","Topic","Name of the protocol-specified study treatment given during the dosing period for the observation.","Req"
"SDTMIG v3.2","11","Interventions","EX","EXCAT","Category of Treatment","Char","",,"","Grouping Qualifier","Used to define a category of EXTRT values.","Perm"
"SDTMIG v3.2","12","Interventions","EX","EXSCAT","Subcategory of Treatment","Char","",,"","Grouping Qualifier","A further categorization of EXCAT values.","Perm"
"SDTMIG v3.2","13","Interventions","EX","EXDOSE","Dose","Num","",,"","Record Qualifier","Amount of EXTRT when numeric. Not populated when EXDOSTXT is populated.","Exp"
"SDTMIG v3.2","14","Interventions","EX","EXDOSTXT","Dose Description","Char","",,"","Record Qualifier","Amount of EXTRT when non-numeric. Dosing amounts or a range of dosing information collected in text form. Example: 200-400. Not populated when EXDOSE is populated.","Perm"
"SDTMIG v3.2","15","Interventions","EX","EXDOSU","Dose Units","Char","C71620",,"","Variable Qualifier","Units for EXDOSE, EXDOSTOT, or EXDOSTXT representing protocol-specified values. Examples: ng, mg, mg/kg, mg/m2.","Exp"
"SDTMIG v3.2","16","Interventions","EX","EXDOSFRM","Dose Form","Char","C66726",,"","Variable Qualifier","Dose form for EXTRT. Examples: TABLET, LOTION.","Exp"
"SDTMIG v3.2","17","Interventions","EX","EXDOSFRQ","Dosing Frequency per Interval","Char","C71113",,"","Variable Qualifier","Usually expressed as the number of repeated administrations of EXDOSE within a specific time period. Examples: Q2H, QD, BID.","Perm"
"SDTMIG v3.2","18","Interventions","EX","EXDOSRGM","Intended Dose Regimen","Char","",,"","Variable Qualifier","Text description of the intended schedule or regimen for the Intervention. Example: TWO WEEKS ON, TWO WEEKS OFF.","Perm"
"SDTMIG v3.2","19","Interventions","EX","EXROUTE","Route of Administration","Char","C66729",,"","Variable Qualifier","Route of administration for the intervention. Examples: ORAL, INTRAVENOUS.","Perm"
"SDTMIG v3.2","20","Interventions","EX","EXLOT","Lot Number","Char","",,"","Record Qualifier","Lot Number of the intervention product.","Perm"
"SDTMIG v3.2","21","Interventions","EX","EXLOC","Location of Dose Administration","Char","C74456",,"","Record Qualifier","Specifies location of administration. Examples: ARM, LIP.","Perm"
"SDTMIG v3.2","22","Interventions","EX","EXLAT","Laterality","Char","C99073",,"","Variable Qualifier","Qualifier for anatomical location further detailing laterality of the intervention administration. Examples: LEFT, RIGHT.","Perm"
"SDTMIG v3.2","23","Interventions","EX","EXDIR","Directionality","Char","C99074",,"","Variable Qualifier","Qualifier for anatomical location further detailing directionality. Examples: ANTERIOR, LOWER, PROXIMAL, UPPER.","Perm"
"SDTMIG v3.2","24","Interventions","EX","EXFAST","Fasting Status","Char","C66742",,"","Record Qualifier","Indicator used to identify fasting status. Examples: Y, N.","Perm"
"SDTMIG v3.2","25","Interventions","EX","EXADJ","Reason for Dose Adjustment","Char","",,"","Record Qualifier","Describes reason or explanation of why a dose is adjusted.","Perm"
"SDTMIG v3.2","26","Interventions","EX","EPOCH","Epoch","Char","C99079",,"","Timing","Trial Epoch of the Exposure record. Examples: RUN-IN, TREATMENT.","Perm"
"SDTMIG v3.2","27","Interventions","EX","EXSTDTC","Start Date/Time of Treatment","Char","","ISO 8601","","Timing","The date/time when administration of the treatment indicated by EXTRT and EXDOSE began.","Exp"
"SDTMIG v3.2","28","Interventions","EX","EXENDTC","End Date/Time of Treatment","Char","","ISO 8601","","Timing","The date/time when administration of the treatment indicated by EXTRT and EXDOSE ended. For administrations considered given at a point in time (e.g., oral tablet, pre-filled syringe injection), where only an administration date/time is collected, EXSTDTC should be copied to EXENDTC as the standard representation.","Exp"
"SDTMIG v3.2","29","Interventions","EX","EXSTDY","Study Day of Start of Treatment","Num","",,"","Timing","Study day of EXSTDTC relative to DM.RFSTDTC.","Perm"
"SDTMIG v3.2","30","Interventions","EX","EXENDY","Study Day of End of Treatment","Num","",,"","Timing","Study day of EXENDTC relative to DM.RFSTDTC.","Perm"
"SDTMIG v3.2","31","Interventions","EX","EXDUR","Duration of Treatment","Char","","ISO 8601","","Timing","Collected duration of administration represented in ISO 8601 duration format. Used only if collected on the CRF and not derived from start and end date/times.","Perm"
"SDTMIG v3.2","32","Interventions","EX","EXTPT","Planned Time Point Name","Char","",,"","Timing","1. Text Description of time when administration should occur. 2. This may be represented as an elapsed time relative to a fixed reference point, such as time of last dose. See EXTPTNUM and EXTPTREF.","Perm"
"SDTMIG v3.2","33","Interventions","EX","EXTPTNUM","Planned Time Point Number","Num","",,"","Timing","Numerical version of EXTPT to aid in sorting.","Perm"
"SDTMIG v3.2","34","Interventions","EX","EXELTM","Planned Elapsed Time from Time Point Ref","Char","","ISO 8601","","Timing","Planned elapsed time (in ISO 8601 format) relative to the planned fixed reference (EXTPTREF). This variable is useful where there are repetitive measures. Not a clock time. Represented in ISO 8601 duration format.","Perm"
"SDTMIG v3.2","35","Interventions","EX","EXTPTREF","Time Point Reference","Char","",,"","Timing","Name of the fixed reference point referred to by EXELTM, EXTPTNUM, and EXTPT. Examples: PREVIOUS DOSE, PREVIOUS MEAL.","Perm"
